Camera1_START->CollisionAlert_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionAlert_START->CollisionAlert_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,CollisionAlert_START
0.447305,0.008890,0.080170,0.006131,0.083153,0.018161,0.000000,0.049658,0.000000,0.009537,0.149139,0.038787,0.000000,0.003474,0.000000,0.000205,0,1,2,2,2,2,2
0.494725,0.005030,0.105677,0.015430,0.090887,0.027765,0.000000,0.039372,0.000000,0.009490,0.155439,0.034197,0.008429,0.002048,0.000000,0.000961,1,2,2,2,2,2,2
0.439868,0.003549,0.083134,0.005603,0.081336,0.017070,0.000000,0.040967,0.021214,0.008429,0.151303,0.021738,0.000000,0.003767,0.000000,0.001758,0,1,2,2,2,2,2
0.462709,0.003506,0.075479,0.011099,0.082123,0.032947,0.000000,0.050848,0.000000,0.010151,0.156954,0.033544,0.000000,0.004908,0.000000,0.001150,0,1,1,2,2,2,2
0.447141,0.004942,0.088902,0.012684,0.081097,0.033622,0.000000,0.034630,0.007927,0.010428,0.145672,0.022626,0.000000,0.002114,0.000000,0.002497,0,1,2,2,2,2,2
0.473789,0.006836,0.070782,0.008596,0.094319,0.027888,0.000000,0.041052,0.000000,0.011493,0.168777,0.037576,0.000000,0.003530,0.000000,0.002940,0,1,2,2,2,2,2
0.461493,0.005082,0.096095,0.006277,0.078954,0.029144,0.000000,0.060854,0.000000,0.011890,0.133283,0.033994,0.000000,0.003311,0.000000,0.002609,0,1,2,2,2,2,2
0.379851,0.003117,0.092008,0.010653,0.085091,0.027794,0.000000,0.061026,0.000000,0.010197,0.052484,0.031823,0.000000,0.004040,0.000000,0.001618,0,1,2,2,1,1,1
0.475983,0.006851,0.095319,0.008694,0.073739,0.031169,0.000000,0.058658,0.005217,0.009097,0.150859,0.031181,0.000000,0.003744,0.000000,0.001455,0,1,2,2,2,2,2
0.465894,0.007108,0.090490,0.007628,0.081514,0.017239,0.000000,0.062063,0.009089,0.010685,0.135032,0.039051,0.000000,0.002242,0.000000,0.003753,1,1,2,2,2,2,2
