SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.000000,0.000000
0.065296,0.065296
0.000000,0.000000
0.042989,0.042989
0.049867,0.049867
0.000000,0.000000
0.054035,0.054035
0.019826,0.019826
0.019734,0.019734
0.000000,0.000000
0.050810,0.050810
0.050692,0.050692
0.048270,0.048270
0.031271,0.031271
0.000000,0.000000
0.000000,0.000000
0.006912,0.006912
0.015540,0.015540
0.030020,0.030020
0.000000,0.000000
0.047512,0.047512
0.013965,0.013965
0.037600,0.037600
0.000000,0.000000
0.065899,0.065899
0.055470,0.055470
0.047346,0.047346
0.004763,0.004763
0.016142,0.016142
0.067610,0.067610
0.038779,0.038779
0.008659,0.008659
0.010411,0.010411
0.029568,0.029568
0.051307,0.051307
0.007739,0.007739
0.052892,0.052892
0.008471,0.008471
0.049345,0.049345
0.021013,0.021013
0.037386,0.037386
0.010423,0.010423
0.014006,0.014006
0.000000,0.000000
0.054949,0.054949
0.000000,0.000000
0.048432,0.048432
0.054844,0.054844
0.031078,0.031078
0.021066,0.021066
0.065486,0.065486
0.064100,0.064100
0.071025,0.071025
0.001082,0.001082
0.068477,0.068477
0.025584,0.025584
0.014602,0.014602
0.043692,0.043692
0.074168,0.074168
0.000000,0.000000
0.071484,0.071484
0.065103,0.065103
0.027033,0.027033
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.063899,0.063899
0.059772,0.059772
0.006528,0.006528
0.022898,0.022898
0.022823,0.022823
0.038674,0.038674
0.042471,0.042471
0.000000,0.000000
0.034711,0.034711
0.045271,0.045271
0.072530,0.072530
0.073383,0.073383
0.069146,0.069146
0.037267,0.037267
0.000000,0.000000
0.056098,0.056098
0.050093,0.050093
0.058575,0.058575
0.054498,0.054498
0.061515,0.061515
0.000000,0.000000
0.000000,0.000000
0.068098,0.068098
0.041271,0.041271
0.068248,0.068248
0.030500,0.030500
0.008634,0.008634
0.013320,0.013320
0.057795,0.057795
0.041597,0.041597
0.000000,0.000000
0.027101,0.027101
0.010396,0.010396
0.018248,0.018248
0.033983,0.033983
0.000000,0.000000
0.019766,0.019766
0.008176,0.008176
0.018474,0.018474
0.000979,0.000979
0.054841,0.054841
0.045846,0.045846
0.028268,0.028268
0.023410,0.023410
0.046453,0.046453
0.011233,0.011233
0.068284,0.068284
0.012622,0.012622
0.016589,0.016589
0.075663,0.075663
0.052399,0.052399
0.010758,0.010758
0.054933,0.054933
0.010273,0.010273
0.055454,0.055454
0.065983,0.065983
0.016670,0.016670
0.059204,0.059204
0.063494,0.063494
0.034102,0.034102
0.000000,0.000000
0.027547,0.027547
0.034533,0.034533
0.021485,0.021485
0.008299,0.008299
0.069637,0.069637
0.000000,0.000000
0.012192,0.012192
0.019687,0.019687
0.029796,0.029796
0.020292,0.020292
0.061238,0.061238
0.059508,0.059508
0.075257,0.075257
0.037710,0.037710
0.000000,0.000000
0.020905,0.020905
0.059151,0.059151
0.051941,0.051941
0.055735,0.055735
0.055955,0.055955
0.067072,0.067072
0.059874,0.059874
0.000000,0.000000
0.018688,0.018688
0.044003,0.044003
0.065227,0.065227
0.046228,0.046228
0.002601,0.002601
0.007892,0.007892
0.056222,0.056222
0.039536,0.039536
0.055326,0.055326
0.047629,0.047629
0.026614,0.026614
0.013164,0.013164
0.077138,0.077138
0.068452,0.068452
0.031178,0.031178
0.065300,0.065300
0.028070,0.028070
0.021722,0.021722
0.002132,0.002132
0.054960,0.054960
0.050110,0.050110
0.000000,0.000000
0.004058,0.004058
0.000000,0.000000
0.029132,0.029132
0.001696,0.001696
0.000000,0.000000
0.047065,0.047065
0.000000,0.000000
0.000000,0.000000
0.011122,0.011122
0.000000,0.000000
0.000000,0.000000
0.000288,0.000288
0.002880,0.002880
0.018176,0.018176
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.026245,0.026245
0.000000,0.000000
0.010665,0.010665
0.069134,0.069134
0.000000,0.000000
0.000000,0.000000
0.072561,0.072561
0.065241,0.065241
0.000000,0.000000
0.010666,0.010666
0.002462,0.002462
0.000000,0.000000
0.012698,0.012698
0.066121,0.066121
0.000000,0.000000
0.052174,0.052174
0.063072,0.063072
0.000000,0.000000
0.067993,0.067993
0.010879,0.010879
0.002359,0.002359
0.077797,0.077797
0.000000,0.000000
0.000000,0.000000
0.018113,0.018113
0.001759,0.001759
0.009256,0.009256
0.000000,0.000000
0.000000,0.000000
0.036214,0.036214
0.000000,0.000000
0.013507,0.013507
0.061622,0.061622
0.000000,0.000000
0.000000,0.000000
0.047893,0.047893
0.080769,0.080769
0.022193,0.022193
0.000000,0.000000
0.004006,0.004006
0.000000,0.000000
0.000000,0.000000
0.058273,0.058273
0.070808,0.070808
0.003072,0.003072
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.032490,0.032490
0.017167,0.017167
0.009976,0.009976
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.058533,0.058533
0.000000,0.000000
0.092289,0.092289
0.075469,0.075469
0.000000,0.000000
0.000000,0.000000
0.000243,0.000243
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.077931,0.077931
0.000000,0.000000
0.028775,0.028775
0.002978,0.002978
0.007117,0.007117
0.089378,0.089378
