SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.006488,0.006488
0.000000,0.000000
0.036780,0.036780
0.000000,0.000000
0.007866,0.007866
0.079214,0.079214
0.040472,0.040472
0.000000,0.000000
0.051889,0.051889
0.013379,0.013379
0.000000,0.000000
0.040500,0.040500
0.054791,0.054791
0.044912,0.044912
0.045610,0.045610
0.018349,0.018349
0.000000,0.000000
0.061235,0.061235
0.039089,0.039089
0.064679,0.064679
0.028985,0.028985
0.021525,0.021525
0.036311,0.036311
0.012007,0.012007
0.042091,0.042091
0.036987,0.036987
0.072320,0.072320
0.037338,0.037338
0.055510,0.055510
0.053948,0.053948
0.056923,0.056923
0.062187,0.062187
0.044940,0.044940
0.043640,0.043640
0.039705,0.039705
0.076536,0.076536
0.009713,0.009713
0.050452,0.050452
0.053212,0.053212
0.048181,0.048181
0.040826,0.040826
0.034716,0.034716
0.044381,0.044381
0.043582,0.043582
0.032036,0.032036
0.047959,0.047959
0.026433,0.026433
0.000000,0.000000
0.058422,0.058422
0.024904,0.024904
0.051964,0.051964
0.051901,0.051901
0.040498,0.040498
0.006532,0.006532
0.017023,0.017023
0.000000,0.000000
0.045641,0.045641
0.021409,0.021409
0.054672,0.054672
0.052269,0.052269
0.019322,0.019322
0.010633,0.010633
0.058253,0.058253
0.076727,0.076727
0.031240,0.031240
0.020873,0.020873
0.041933,0.041933
0.027005,0.027005
0.052513,0.052513
0.013526,0.013526
0.000000,0.000000
0.024986,0.024986
0.009666,0.009666
0.010420,0.010420
0.045241,0.045241
0.043086,0.043086
0.047240,0.047240
0.042870,0.042870
0.030759,0.030759
0.024893,0.024893
0.011942,0.011942
0.006993,0.006993
0.024177,0.024177
0.013059,0.013059
0.009528,0.009528
0.023443,0.023443
0.021635,0.021635
0.041905,0.041905
0.001398,0.001398
0.032543,0.032543
0.038841,0.038841
0.051035,0.051035
0.003818,0.003818
0.055479,0.055479
0.000000,0.000000
0.000000,0.000000
0.034501,0.034501
0.055065,0.055065
0.075219,0.075219
0.028431,0.028431
0.078899,0.078899
0.036019,0.036019
0.024135,0.024135
0.016954,0.016954
0.000000,0.000000
0.018744,0.018744
0.044582,0.044582
0.046816,0.046816
0.007118,0.007118
0.057012,0.057012
0.005883,0.005883
0.004242,0.004242
0.028471,0.028471
0.048098,0.048098
0.044763,0.044763
0.013857,0.013857
0.045930,0.045930
0.007578,0.007578
0.025735,0.025735
0.037810,0.037810
0.025320,0.025320
0.054833,0.054833
0.031001,0.031001
0.089461,0.089461
0.021199,0.021199
0.000645,0.000645
0.035857,0.035857
0.002718,0.002718
0.032176,0.032176
0.000000,0.000000
0.000000,0.000000
0.018332,0.018332
0.000000,0.000000
0.000000,0.000000
0.047361,0.047361
0.031867,0.031867
0.029637,0.029637
0.035125,0.035125
0.046889,0.046889
0.083490,0.083490
0.045970,0.045970
0.023266,0.023266
0.074574,0.074574
0.058025,0.058025
0.070461,0.070461
0.059283,0.059283
