bin,total,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionAlert_START->CollisionAlert_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.322000,0.002372,0.000575,0.000046,0.000011,0.000000,0.000040,0.000000,0.000243,0.000309,0.000074,0.000000,0.000134,0.000000,0.000346,0.000521,0.000073
0.323000,0.000593,0.000121,0.000009,0.000006,0.000000,0.000003,0.000000,0.000065,0.000028,0.000017,0.000000,0.000035,0.000000,0.000097,0.000194,0.000019
0.324000,0.004152,0.000986,0.000064,0.000015,0.000000,0.000056,0.000019,0.000405,0.000155,0.000098,0.000020,0.000314,0.000000,0.000710,0.001185,0.000127
0.325000,0.003559,0.000824,0.000056,0.000016,0.000000,0.000054,0.000000,0.000309,0.000273,0.000110,0.000013,0.000249,0.000000,0.000586,0.000963,0.000106
0.326000,0.001186,0.000286,0.000022,0.000008,0.000000,0.000019,0.000018,0.000094,0.000064,0.000040,0.000014,0.000085,0.000000,0.000200,0.000300,0.000037
0.327000,0.001779,0.000437,0.000015,0.000013,0.000000,0.000019,0.000000,0.000147,0.000073,0.000071,0.000009,0.000144,0.000000,0.000226,0.000572,0.000054
0.328000,0.003559,0.000859,0.000051,0.000026,0.000000,0.000054,0.000019,0.000313,0.000329,0.000096,0.000000,0.000269,0.000000,0.000549,0.000882,0.000112
0.329000,0.003559,0.000930,0.000055,0.000021,0.000000,0.000050,0.000015,0.000284,0.000313,0.000127,0.000000,0.000218,0.000000,0.000469,0.000971,0.000107
0.330000,0.005338,0.001267,0.000079,0.000030,0.000000,0.000088,0.000000,0.000457,0.000457,0.000145,0.000036,0.000428,0.000000,0.000891,0.001290,0.000170
0.331000,0.003559,0.000970,0.000060,0.000012,0.000000,0.000047,0.000015,0.000314,0.000346,0.000104,0.000000,0.000250,0.000000,0.000500,0.000829,0.000110
0.332000,0.002966,0.000732,0.000050,0.000016,0.000000,0.000047,0.000000,0.000244,0.000279,0.000101,0.000020,0.000235,0.000000,0.000423,0.000738,0.000082
0.333000,0.001186,0.000264,0.000016,0.000004,0.000000,0.000020,0.000000,0.000103,0.000123,0.000029,0.000000,0.000106,0.000000,0.000202,0.000281,0.000038
