Camera1_START->Braking_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,Braking_START->Braking_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,Braking_START
0.323812,0.007924,0.077837,0.007417,0.023470,0.015206,0.000000,0.043568,0.000000,0.010009,0.099028,0.027681,0.000000,0.002487,0.000000,0.009185,0,1,1,2,1,1,1
0.425038,0.001288,0.084290,0.008539,0.029973,0.025491,0.000000,0.038532,0.028190,0.009941,0.163348,0.023367,0.000000,0.003438,0.000000,0.008641,0,1,1,1,2,2,2
0.445395,0.007093,0.082938,0.013037,0.017911,0.019779,0.000000,0.057781,0.017979,0.009574,0.175634,0.028907,0.000000,0.003836,0.000000,0.010926,0,1,1,2,1,2,2
0.334139,0.004887,0.092917,0.007573,0.016999,0.021670,0.000000,0.044426,0.000000,0.010117,0.095229,0.026015,0.000000,0.005212,0.000000,0.009094,0,1,1,1,1,1,1
0.323550,0.005120,0.065887,0.007868,0.012857,0.025380,0.000000,0.046577,0.000000,0.009663,0.102189,0.027967,0.000000,0.007062,0.000000,0.012980,0,0,1,1,1,1,1
0.428631,0.006806,0.105741,0.009468,0.106498,0.030287,0.000000,0.052834,0.000000,0.009958,0.059604,0.031328,0.000000,0.005542,0.000000,0.010565,1,2,2,2,1,2,2
0.421841,0.006986,0.064529,0.013700,0.001969,0.020835,0.000000,0.051152,0.029034,0.009990,0.167035,0.031092,0.010263,0.004938,0.000000,0.010318,0,0,1,1,1,2,2
0.417048,0.003201,0.066739,0.008571,0.017099,0.029267,0.000000,0.046375,0.027853,0.010263,0.153620,0.032696,0.009595,0.002562,0.000000,0.009207,0,0,1,1,1,1,1
0.419759,0.003077,0.071311,0.005390,0.024854,0.023643,0.000000,0.055132,0.012991,0.009595,0.170126,0.025323,0.000000,0.006664,0.000000,0.011653,0,0,1,1,1,2,2
0.365168,0.006328,0.096264,0.009887,0.025624,0.025730,0.000000,0.043985,0.000000,0.010220,0.091407,0.030272,0.010283,0.005993,0.000000,0.009175,1,1,1,2,1,1,1
