Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START,Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START
0.014343,0.014343
0.000000,0.000000
0.041131,0.041131
0.036569,0.036569
0.010341,0.010341
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.043946,0.043946
0.048053,0.048053
0.065243,0.065243
0.030149,0.030149
0.000000,0.000000
0.031302,0.031302
0.000000,0.000000
0.036546,0.036546
0.026376,0.026376
0.000000,0.000000
0.000131,0.000131
0.055214,0.055214
0.000000,0.000000
0.000000,0.000000
0.031462,0.031462
0.000000,0.000000
0.022295,0.022295
0.036419,0.036419
0.033948,0.033948
0.000000,0.000000
0.010569,0.010569
0.000000,0.000000
0.006816,0.006816
0.053426,0.053426
0.000000,0.000000
0.037837,0.037837
0.000000,0.000000
0.030416,0.030416
0.000000,0.000000
0.021907,0.021907
0.022303,0.022303
0.028249,0.028249
0.058593,0.058593
0.008556,0.008556
0.000000,0.000000
0.001658,0.001658
0.034325,0.034325
0.049103,0.049103
0.031004,0.031004
0.000000,0.000000
0.071038,0.071038
0.000000,0.000000
0.040324,0.040324
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.005071,0.005071
0.030083,0.030083
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.055679,0.055679
0.039478,0.039478
0.027701,0.027701
0.018394,0.018394
0.000000,0.000000
0.000000,0.000000
0.039527,0.039527
0.024665,0.024665
0.000000,0.000000
0.046650,0.046650
0.008555,0.008555
0.020446,0.020446
0.000000,0.000000
0.041012,0.041012
0.000000,0.000000
0.039735,0.039735
0.051842,0.051842
0.037179,0.037179
0.032695,0.032695
0.038661,0.038661
0.000000,0.000000
0.049455,0.049455
0.000000,0.000000
0.009335,0.009335
0.032882,0.032882
0.000000,0.000000
0.054505,0.054505
0.020414,0.020414
0.060846,0.060846
0.025003,0.025003
0.053799,0.053799
0.035095,0.035095
0.010385,0.010385
0.024613,0.024613
0.000000,0.000000
0.000000,0.000000
0.061801,0.061801
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006806,0.006806
0.031235,0.031235
0.018189,0.018189
0.000000,0.000000
0.024623,0.024623
0.032053,0.032053
0.000000,0.000000
0.055835,0.055835
0.008510,0.008510
0.000000,0.000000
0.040102,0.040102
0.017589,0.017589
0.047400,0.047400
0.000000,0.000000
0.000000,0.000000
0.055751,0.055751
0.000000,0.000000
0.000000,0.000000
0.011001,0.011001
0.033262,0.033262
0.000000,0.000000
0.000000,0.000000
0.018628,0.018628
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.044952,0.044952
0.039861,0.039861
0.000000,0.000000
0.000000,0.000000
0.018230,0.018230
0.049112,0.049112
0.052805,0.052805
0.000000,0.000000
0.057327,0.057327
0.000000,0.000000
0.000000,0.000000
0.027934,0.027934
0.000000,0.000000
0.000000,0.000000
0.017692,0.017692
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.022828,0.022828
0.012470,0.012470
0.041309,0.041309
0.053309,0.053309
0.014787,0.014787
0.012170,0.012170
0.002395,0.002395
0.033527,0.033527
0.000000,0.000000
0.000000,0.000000
0.011033,0.011033
0.000000,0.000000
0.038077,0.038077
0.052870,0.052870
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.062749,0.062749
0.052552,0.052552
0.047459,0.047459
0.018818,0.018818
0.053095,0.053095
0.000000,0.000000
0.046876,0.046876
0.027608,0.027608
0.030586,0.030586
0.041647,0.041647
0.029602,0.029602
0.030386,0.030386
0.026115,0.026115
0.000000,0.000000
0.062744,0.062744
0.028004,0.028004
0.028871,0.028871
0.020400,0.020400
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.043860,0.043860
0.037979,0.037979
0.001828,0.001828
0.039991,0.039991
0.058293,0.058293
0.003367,0.003367
0.040866,0.040866
0.000000,0.000000
0.058907,0.058907
0.047604,0.047604
0.043378,0.043378
0.000000,0.000000
0.000000,0.000000
0.016251,0.016251
0.068556,0.068556
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.044347,0.044347
0.000000,0.000000
0.037513,0.037513
0.029991,0.029991
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.055082,0.055082
0.049447,0.049447
0.035007,0.035007
0.000000,0.000000
0.000000,0.000000
0.033893,0.033893
0.000000,0.000000
0.047446,0.047446
0.005474,0.005474
0.000000,0.000000
0.042093,0.042093
0.046753,0.046753
0.039164,0.039164
0.043353,0.043353
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.035754,0.035754
0.014867,0.014867
0.045771,0.045771
0.000000,0.000000
0.000000,0.000000
0.016732,0.016732
0.026779,0.026779
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.050201,0.050201
0.000000,0.000000
0.038602,0.038602
0.000000,0.000000
0.000000,0.000000
0.043439,0.043439
0.000000,0.000000
0.012870,0.012870
0.048549,0.048549
0.063183,0.063183
0.009486,0.009486
