bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=7
0.033000,0.013888,0.000220,0.004399,0.007541,0.001508,0.000220,0.000000,0.000000,0.000000
0.034000,0.015302,0.000283,0.004807,0.008798,0.001320,0.000063,0.000031,0.000000,0.000000
0.035000,0.014077,0.000220,0.004807,0.007133,0.001602,0.000283,0.000031,0.000000,0.000000
0.036000,0.012663,0.000126,0.003833,0.007635,0.000911,0.000157,0.000000,0.000000,0.000000
0.037000,0.012191,0.000251,0.004022,0.006441,0.001163,0.000251,0.000031,0.000031,0.000000
0.038000,0.011814,0.000346,0.003802,0.006441,0.001068,0.000157,0.000000,0.000000,0.000000
0.039000,0.011751,0.000126,0.003488,0.006410,0.001320,0.000408,0.000000,0.000000,0.000000
0.040000,0.005939,0.000189,0.002011,0.003142,0.000597,0.000000,0.000000,0.000000,0.000000
0.041000,0.005781,0.000000,0.001854,0.003362,0.000503,0.000063,0.000000,0.000000,0.000000
0.042000,0.004870,0.000031,0.001383,0.002796,0.000440,0.000220,0.000000,0.000000,0.000000
0.043000,0.003990,0.000031,0.001194,0.002168,0.000440,0.000157,0.000000,0.000000,0.000000
0.044000,0.004430,0.000000,0.001163,0.002639,0.000503,0.000126,0.000000,0.000000,0.000000
0.045000,0.004996,0.000031,0.001351,0.003016,0.000471,0.000126,0.000000,0.000000,0.000000
0.046000,0.005467,0.000126,0.001100,0.003362,0.000723,0.000126,0.000031,0.000000,0.000000
0.047000,0.005216,0.000220,0.001288,0.002985,0.000660,0.000063,0.000000,0.000000,0.000000
0.048000,0.005467,0.000063,0.001728,0.003079,0.000597,0.000000,0.000000,0.000000,0.000000
0.049000,0.004902,0.000094,0.001194,0.002954,0.000471,0.000157,0.000031,0.000000,0.000000
0.050000,0.005467,0.000126,0.001383,0.003236,0.000566,0.000157,0.000000,0.000000,0.000000
0.051000,0.005624,0.000157,0.001665,0.003111,0.000534,0.000157,0.000000,0.000000,0.000000
0.052000,0.005373,0.000126,0.001383,0.003016,0.000628,0.000220,0.000000,0.000000,0.000000
0.053000,0.003865,0.000000,0.001068,0.002357,0.000314,0.000094,0.000031,0.000000,0.000000
0.054000,0.003928,0.000000,0.000943,0.002357,0.000471,0.000157,0.000000,0.000000,0.000000
0.055000,0.003205,0.000000,0.000786,0.002105,0.000220,0.000094,0.000000,0.000000,0.000000
0.056000,0.003236,0.000031,0.000628,0.002199,0.000314,0.000063,0.000000,0.000000,0.000000
0.057000,0.003016,0.000031,0.000440,0.001980,0.000534,0.000031,0.000000,0.000000,0.000000
0.058000,0.003551,0.000000,0.000911,0.001885,0.000628,0.000126,0.000000,0.000000,0.000000
0.059000,0.002828,0.000031,0.000251,0.001854,0.000566,0.000094,0.000031,0.000000,0.000000
0.060000,0.002577,0.000000,0.000440,0.001414,0.000660,0.000063,0.000000,0.000000,0.000000
0.061000,0.003111,0.000031,0.000691,0.001822,0.000503,0.000063,0.000000,0.000000,0.000000
0.062000,0.003205,0.000000,0.000848,0.001571,0.000503,0.000251,0.000031,0.000000,0.000000
0.063000,0.003016,0.000000,0.000503,0.001351,0.000880,0.000283,0.000000,0.000000,0.000000
0.064000,0.003488,0.000031,0.000408,0.001917,0.000911,0.000189,0.000031,0.000000,0.000000
0.065000,0.002828,0.000000,0.000314,0.001571,0.000817,0.000094,0.000000,0.000000,0.000031
