bin,total,Braking_START->Braking_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.470000,0.011269,0.000252,0.002346,0.000126,0.000000,0.000133,0.000065,0.000688,0.001343,0.000253,0.000024,0.000632,0.000339,0.001185,0.003648,0.000235
0.471000,0.010083,0.000225,0.001867,0.000114,0.000000,0.000109,0.000049,0.000691,0.001104,0.000208,0.000012,0.000514,0.000324,0.001205,0.003448,0.000212
0.472000,0.007711,0.000171,0.001397,0.000083,0.000000,0.000084,0.000078,0.000481,0.001090,0.000166,0.000020,0.000395,0.000202,0.000807,0.002575,0.000163
0.473000,0.008304,0.000182,0.001536,0.000082,0.000000,0.000083,0.000048,0.000553,0.001068,0.000192,0.000025,0.000456,0.000233,0.000893,0.002779,0.000175
0.474000,0.008897,0.000192,0.001622,0.000096,0.000000,0.000100,0.000052,0.000561,0.001288,0.000224,0.000025,0.000459,0.000171,0.001008,0.002910,0.000189
0.475000,0.006524,0.000148,0.001201,0.000075,0.000000,0.000079,0.000058,0.000415,0.000847,0.000132,0.000000,0.000341,0.000207,0.000695,0.002186,0.000140
0.476000,0.008897,0.000199,0.001531,0.000089,0.000000,0.000098,0.000057,0.000601,0.001373,0.000167,0.000011,0.000506,0.000254,0.000907,0.002919,0.000185
0.477000,0.008304,0.000188,0.001714,0.000094,0.000000,0.000079,0.000052,0.000527,0.000862,0.000190,0.000000,0.000473,0.000184,0.000991,0.002780,0.000170
0.478000,0.010676,0.000227,0.001906,0.000111,0.000000,0.000115,0.000063,0.000696,0.001578,0.000237,0.000019,0.000553,0.000290,0.001109,0.003544,0.000228
0.479000,0.004745,0.000096,0.000851,0.000050,0.000000,0.000057,0.000037,0.000300,0.000717,0.000122,0.000021,0.000241,0.000084,0.000549,0.001523,0.000098
0.480000,0.007711,0.000174,0.001399,0.000093,0.000000,0.000083,0.000041,0.000451,0.001064,0.000154,0.000008,0.000435,0.000179,0.000797,0.002670,0.000161
0.481000,0.005931,0.000124,0.001076,0.000061,0.000000,0.000069,0.000051,0.000402,0.000868,0.000118,0.000020,0.000340,0.000147,0.000609,0.001918,0.000127
0.482000,0.005338,0.000107,0.000926,0.000058,0.000000,0.000053,0.000039,0.000319,0.000874,0.000107,0.000011,0.000308,0.000127,0.000600,0.001698,0.000113
0.483000,0.008304,0.000183,0.001441,0.000087,0.000000,0.000098,0.000088,0.000547,0.001234,0.000180,0.000007,0.000423,0.000204,0.000896,0.002743,0.000172
0.484000,0.014235,0.000300,0.002545,0.000133,0.000000,0.000150,0.000120,0.000850,0.002184,0.000308,0.000000,0.000728,0.000473,0.001492,0.004666,0.000286
0.485000,0.008897,0.000196,0.001551,0.000082,0.000000,0.000082,0.000097,0.000547,0.001475,0.000166,0.000000,0.000477,0.000251,0.000914,0.002878,0.000181
0.486000,0.007711,0.000159,0.001404,0.000078,0.000000,0.000071,0.000040,0.000474,0.001153,0.000160,0.000021,0.000420,0.000224,0.000794,0.002556,0.000156
0.487000,0.005931,0.000129,0.001064,0.000054,0.000000,0.000065,0.000045,0.000359,0.000917,0.000141,0.000031,0.000297,0.000125,0.000625,0.001952,0.000125
0.488000,0.005931,0.000130,0.001057,0.000073,0.000000,0.000075,0.000012,0.000371,0.000925,0.000118,0.000000,0.000289,0.000209,0.000606,0.001943,0.000122
0.489000,0.008897,0.000187,0.001550,0.000101,0.000000,0.000075,0.000060,0.000514,0.001382,0.000178,0.000000,0.000434,0.000287,0.000957,0.002989,0.000181
0.490000,0.007711,0.000173,0.001417,0.000076,0.000000,0.000082,0.000039,0.000496,0.001152,0.000162,0.000025,0.000408,0.000197,0.000870,0.002452,0.000162
0.491000,0.007117,0.000145,0.001276,0.000071,0.000000,0.000072,0.000037,0.000452,0.001049,0.000146,0.000000,0.000364,0.000257,0.000741,0.002363,0.000143
0.492000,0.005338,0.000116,0.001024,0.000070,0.000000,0.000053,0.000059,0.000346,0.000769,0.000107,0.000000,0.000290,0.000093,0.000661,0.001643,0.000109
0.493000,0.010083,0.000203,0.001964,0.000101,0.000000,0.000116,0.000060,0.000667,0.001412,0.000179,0.000006,0.000482,0.000255,0.001085,0.003348,0.000205
0.494000,0.004745,0.000095,0.000778,0.000051,0.000000,0.000051,0.000034,0.000305,0.000812,0.000076,0.000000,0.000269,0.000136,0.000569,0.001476,0.000092
0.495000,0.007117,0.000141,0.001264,0.000063,0.000000,0.000069,0.000013,0.000455,0.001239,0.000140,0.000000,0.000351,0.000165,0.000750,0.002322,0.000146
0.496000,0.005338,0.000118,0.000975,0.000063,0.000000,0.000046,0.000036,0.000351,0.000746,0.000088,0.000000,0.000277,0.000185,0.000525,0.001819,0.000109
0.497000,0.001779,0.000036,0.000350,0.000015,0.000000,0.000017,0.000000,0.000080,0.000288,0.000035,0.000000,0.000105,0.000051,0.000170,0.000598,0.000035
0.498000,0.006524,0.000128,0.001173,0.000066,0.000000,0.000061,0.000080,0.000440,0.000995,0.000130,0.000000,0.000348,0.000225,0.000657,0.002090,0.000132
0.499000,0.007117,0.000143,0.001354,0.000069,0.000000,0.000083,0.000022,0.000438,0.001049,0.000152,0.000063,0.000337,0.000294,0.000694,0.002274,0.000144
0.500000,0.005931,0.000125,0.000996,0.000060,0.000000,0.000053,0.000023,0.000377,0.000965,0.000115,0.000000,0.000320,0.000198,0.000702,0.001878,0.000119
0.501000,0.008304,0.000175,0.001428,0.000072,0.000000,0.000086,0.000071,0.000534,0.001397,0.000155,0.000029,0.000444,0.000259,0.000839,0.002649,0.000167
0.502000,0.007117,0.000149,0.001276,0.000073,0.000000,0.000072,0.000025,0.000400,0.001178,0.000146,0.000000,0.000378,0.000360,0.000704,0.002211,0.000146
0.503000,0.002966,0.000064,0.000495,0.000028,0.000000,0.000027,0.000026,0.000200,0.000531,0.000040,0.000000,0.000142,0.000093,0.000323,0.000943,0.000054
0.504000,0.007117,0.000140,0.001267,0.000066,0.000000,0.000060,0.000060,0.000437,0.001121,0.000133,0.000030,0.000388,0.000154,0.000728,0.002394,0.000140
0.505000,0.005931,0.000122,0.001015,0.000059,0.000000,0.000045,0.000036,0.000358,0.000978,0.000133,0.000000,0.000284,0.000200,0.000616,0.001972,0.000112
0.506000,0.005931,0.000119,0.001107,0.000063,0.000000,0.000058,0.000044,0.000351,0.000956,0.000124,0.000000,0.000342,0.000181,0.000641,0.001826,0.000118
0.507000,0.005338,0.000106,0.000984,0.000054,0.000000,0.000042,0.000022,0.000316,0.000831,0.000105,0.000000,0.000260,0.000176,0.000584,0.001754,0.000104
0.508000,0.005338,0.000110,0.000914,0.000056,0.000000,0.000061,0.000059,0.000358,0.000863,0.000104,0.000000,0.000252,0.000206,0.000520,0.001733,0.000101
0.509000,0.001779,0.000032,0.000301,0.000013,0.000000,0.000018,0.000038,0.000111,0.000287,0.000036,0.000010,0.000095,0.000076,0.000180,0.000545,0.000037
0.510000,0.001779,0.000036,0.000304,0.000017,0.000000,0.000009,0.000023,0.000107,0.000302,0.000041,0.000000,0.000096,0.000069,0.000180,0.000559,0.000036
0.511000,0.008304,0.000158,0.001434,0.000071,0.000000,0.000082,0.000061,0.000509,0.001478,0.000162,0.000000,0.000405,0.000304,0.000846,0.002636,0.000158
0.512000,0.003559,0.000076,0.000718,0.000032,0.000000,0.000033,0.000034,0.000199,0.000527,0.000053,0.000016,0.000188,0.000158,0.000361,0.001093,0.000072
0.513000,0.004152,0.000077,0.000823,0.000045,0.000000,0.000046,0.000038,0.000243,0.000589,0.000094,0.000017,0.000188,0.000137,0.000394,0.001378,0.000083
0.514000,0.001779,0.000033,0.000349,0.000021,0.000000,0.000024,0.000024,0.000121,0.000252,0.000033,0.000000,0.000088,0.000050,0.000200,0.000548,0.000036
0.515000,0.000593,0.000008,0.000108,0.000003,0.000000,0.000007,0.000010,0.000034,0.000112,0.000011,0.000000,0.000035,0.000005,0.000080,0.000168,0.000011
0.516000,0.001779,0.000042,0.000325,0.000012,0.000000,0.000014,0.000013,0.000098,0.000299,0.000033,0.000000,0.000079,0.000077,0.000170,0.000582,0.000035
