Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.027342,0.027342
0.009205,0.009205
0.011822,0.011822
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.005605,0.005605
0.040829,0.040829
0.023327,0.023327
0.000000,0.000000
0.029366,0.029366
0.000000,0.000000
0.000000,0.000000
0.032678,0.032678
0.000000,0.000000
0.024386,0.024386
0.002991,0.002991
0.021089,0.021089
0.002685,0.002685
0.022863,0.022863
0.054215,0.054215
0.023730,0.023730
0.005886,0.005886
0.046711,0.046711
0.001563,0.001563
0.040903,0.040903
0.018819,0.018819
0.046591,0.046591
0.000000,0.000000
0.049366,0.049366
0.018533,0.018533
0.005809,0.005809
0.040544,0.040544
0.027244,0.027244
0.039233,0.039233
0.031630,0.031630
0.000000,0.000000
0.029182,0.029182
0.005078,0.005078
0.014165,0.014165
0.037881,0.037881
0.049601,0.049601
0.020948,0.020948
0.033876,0.033876
0.027222,0.027222
0.007785,0.007785
0.000000,0.000000
0.034271,0.034271
0.004002,0.004002
0.000000,0.000000
0.068378,0.068378
0.038870,0.038870
0.000000,0.000000
0.000000,0.000000
0.001602,0.001602
0.040916,0.040916
0.038487,0.038487
0.036832,0.036832
0.000000,0.000000
0.013359,0.013359
0.020689,0.020689
0.000000,0.000000
0.039289,0.039289
0.052154,0.052154
0.013207,0.013207
0.000000,0.000000
0.026022,0.026022
0.031719,0.031719
0.035362,0.035362
0.013719,0.013719
0.043484,0.043484
0.003419,0.003419
0.032690,0.032690
0.018545,0.018545
0.000000,0.000000
0.003336,0.003336
0.011081,0.011081
0.000000,0.000000
0.004009,0.004009
0.035780,0.035780
0.003417,0.003417
0.031840,0.031840
0.039739,0.039739
0.011006,0.011006
0.000000,0.000000
0.051925,0.051925
0.040979,0.040979
0.001557,0.001557
0.002115,0.002115
0.013136,0.013136
0.015106,0.015106
0.018043,0.018043
0.002492,0.002492
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.029865,0.029865
0.000000,0.000000
0.045175,0.045175
0.000000,0.000000
0.031674,0.031674
0.034395,0.034395
0.000000,0.000000
0.000000,0.000000
0.021106,0.021106
0.001942,0.001942
0.000000,0.000000
0.035602,0.035602
0.000000,0.000000
0.025769,0.025769
0.054602,0.054602
0.000000,0.000000
0.030531,0.030531
0.000000,0.000000
0.000000,0.000000
0.067224,0.067224
0.000000,0.000000
0.057176,0.057176
0.034896,0.034896
0.000000,0.000000
0.032005,0.032005
0.031324,0.031324
0.050191,0.050191
0.039123,0.039123
0.025648,0.025648
0.032942,0.032942
0.047441,0.047441
0.045864,0.045864
0.030674,0.030674
0.002140,0.002140
0.000000,0.000000
0.032573,0.032573
0.032324,0.032324
0.000000,0.000000
0.038927,0.038927
0.000000,0.000000
0.060850,0.060850
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.044070,0.044070
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.035129,0.035129
0.000000,0.000000
0.000000,0.000000
0.029254,0.029254
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008641,0.008641
0.033092,0.033092
